index,rmse,feature
1831,0.6266347815231311,44d5b820f
2043,0.6266908364001667,72d34a148
3641,0.6267475423741082,3f4a39818
4992,0.6267576158462399,lstm_AE_col0_1
4953,0.6267651469319822,1189ee335
3323,0.6267684775646172,f1e0ada11
5042,0.6267725280995059,lstm_AE_col10_1
3478,0.6268331436608288,191e21b5f
5302,0.6268404179145501,lstm_AE_col62_1
1857,0.6269034499718044,9884166a7
656,0.6270043675635733,525635722
4122,0.6270352988781915,e2c21c4bc
1320,0.6271099091738472,2eeadde2b
1815,0.6271107143106943,9306da53f
2351,0.6271648845412873,1e6306c7c
5090,0.627172765240589,lstm_AE_col19_4
783,0.6271741038504289,8337d1adc
3007,0.6271847122629599,c944a48b5
880,0.6271984403543676,2b2a10857
1309,0.627200594769198,371da7669
4581,0.6272030768915392,1702b5bf0
5028,0.6272292962286544,lstm_AE_col7_2
1057,0.6272551263104805,1c71183bb
549,0.6272607768370709,6c0e0801a
381,0.6273382664406495,47cd6e6e4
1447,0.6274097390619342,6cf7866c1
4837,0.6274274913861836,b8f892930
529,0.6274521182220936,e803a2db0
2396,0.6274659885071626,8f57141ec
3771,0.627489678085455,58232a6fb
713,0.6274925606101689,bdf773176
3253,0.6275585262872321,95742c2bf
1534,0.627573248292618,a39758dae
3413,0.6276584529323515,899dbe405
1485,0.6276883148985575,f16a196c6
3706,0.6277528135249215,13bdd610a
655,0.6277797525434903,0c9462c08
1862,0.6277844907993531,e75cfcc64
3285,0.6278244150938448,b75aa754d
1044,0.6278376087829487,64e483341
1529,0.6278593070255918,30b3daec2
5204,0.6278715574082983,lstm_AE_col42_3
3088,0.6279338549228459,91f701ba2
5055,0.6279480780719565,lstm_AE_col12_4
5198,0.6279651032917647,lstm_AE_col41_2
3485,0.6280359384837716,1029d9146
2152,0.6280435538822908,402bb0761
3069,0.628044500251571,7124d86d9
5304,0.6280528225142609,lstm_AE_col62_3
4883,0.6280721952236215,e43343256
4653,0.6280754839938547,ea4046b8d
4414,0.628076117195911,f74e8f13d
5357,0.6281233314447332,lstm_AE_col73_1
118,0.628129212036339,963a49cdc
3708,0.6281518469593463,57535b55a
2726,0.6281522821633821,2570e2ba9
5147,0.6281730390856637,lstm_AE_col31_1
5219,0.6281922222423169,lstm_AE_col45_3
5201,0.6282724651072664,lstm_AE_col42_0
5475,0.6282730552437168,lstm_AE_col96_4
4983,0.6282836287889524,8675bec0b
5155,0.62832923468488,lstm_AE_col32_4
2033,0.628355037447976,d7875bb6c
3880,0.6283805889800527,c8d582dd2
5188,0.6283817257723509,lstm_AE_col39_2
5220,0.6283966741158453,lstm_AE_col45_4
4716,0.6284012389386371,555f18bd3
5393,0.6284214141225964,lstm_AE_col80_2
4863,0.6284260339483988,cac875244
4444,0.628431642463261,c4972742d
4065,0.6284330435686478,5d9f43278
4628,0.6284516536617676,22abeffb6
2352,0.6284575062882521,0e3ef9e8f
3651,0.6284623621081801,62fb56487
5111,0.6284717324680428,lstm_AE_col24_0
5216,0.62848153354489,lstm_AE_col45_0
653,0.6285176870925226,9581ec522
3970,0.6285301019581901,f7d385108
5255,0.6285301295503919,lstm_AE_col52_4
344,0.6286343872318063,b30e932ba
5471,0.6286697228426825,lstm_AE_col96_0
4977,0.6286839929218606,5831f4c76
3177,0.6286953986625405,6c5c8869c
4179,0.6287131761654904,86875d9b0
4632,0.6287152859046214,a09a238d0
1580,0.6287260676672418,aac52d8d9
5217,0.6287302645206201,lstm_AE_col45_1
5053,0.6287377101457687,lstm_AE_col12_2
1894,0.6287660660486817,cfc1ce276
5102,0.6287975256846122,lstm_AE_col22_1
5472,0.6288017680618767,lstm_AE_col96_1
747,0.6288112933855543,ead538d94
5325,0.6288127084656661,lstm_AE_col66_4
2973,0.6288128413412086,ff65215db
13,0.6288187507743863,4681de4fd
572,0.6288249693325643,0572565c2
2100,0.6288288719522908,86f13324d
1373,0.6288336900096501,ba852cc7a
780,0.6288446133504302,ecb354edf
3741,0.6288497015799273,dcc269cfe
3648,0.628853056245207,22c019a2e
1592,0.6288737272523407,ea772e115
